No.,REGISTRATION YEAR,REGISTRATION MONTH,MANUFACTURE YEAR,MAKER,CAR NAME,Grade,CHASSIS NO,PREFIX,SHIFT,COLOR,DOOR,WD,OPTIONS,REMARKS,FUEL TYPE,Engine Size,Engine Size Unit,KM,Odometer (Denom.),,PRICE
1,2011,9,,BMW,3 SERIES,320I HIGH LINE PKPG,WBAPG36020NN37309,LBA-PG20,AT,WHITE,4,2WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB",FRONT SEAT HEATER,PETROL,1990,cc,85000,KM,,1
2,2012,5,2012,DAIHATSU,HIJET CARGO,,S331V-0072654,EBD-S331V,AT,WHITE,5,4WD,"PS,AC,AB",,PETROL,650,cc,179000,KM,,2
3,2002,,2002,DAIHATSU,HIJET TRUCK,,S210P-0147248,TE-S210P,MT,WHITE,2,4WD,"PS,AC",,PETROL,650,cc,90000,KM,,3
4,2011,10,2011,DAIHATSU,HIJET TRUCK,EXTRA,S211P-0159384,EBD-S211P,AT,SILVER,2,4WD,"PS,PW,AC",,PETROL,650,cc,128000,KM,,4
5,2012,3,2012,DAIHATSU,HIJET TRUCK,SPECIAL,S201P-0079886,EBD-S201P,MT,WHITE,2,2WD,,,PETROL,650,cc,48000,KM,,5
6,2016,6,2016,DAIHATSU,HIJET TRUCK,,S510P-0103966,EBD-S510P,AT,WHITE,2,4WD,"PS,AC,ABS,AB",,PETROL,650,cc,73000,KM,,6
7,2016,2,,FORD,EXPLORER,,1FM5K8HT1GGB23249,ABA-1FM5KT,AT,BLACK,5,4WD,"PS,PW,AC,LS,AW,SR,RR,ABS,AB,RS",,PETROL,3490,cc,129000,KM,,7
8,2007,12,,FORD,EXPLORER SPORT TRAC,,1FMEU51E68UA21906,ABF-1FMKU51,AT,BLACK,4,WD,"PS,PW,AC,NV,FOG,RR,ABS,AB",,PETROL,4010,cc,150000,KM,,8
9,2006,9,2006,HINO,DUTRO,,XZU346-1001088,PB-XZU346M,AT,WHITE,2,2WD,"PS,PW,AC,ABS,AB",,DIESEL,4890,cc,192000,KM,,9
10,2013,3,,HINO,RANGER,,FD9JLA-11967,TKG-FD9JLAA,MT,WHITE,2,2WD,"PS,PW,AC",,DIESEL,5120,cc,882000,KM,,10
11,2015,6,,HINO,RANGER,,FD7JPA-11014,TKG-FD7JPAA,MT,RED,2,2WD,"PS,PW,AC,AB",,DIESEL,6400,cc,806000,KM,,11
12,2017,6,2017,HONDA,SHUTTLE,HYBRID,GP8-1103764,DAA-GP8,AT,SILVER,5,4WD,"PS,PW,AC,ABS",,HYBRID(PETROL),1490,cc,147000,KM,,12
13,2015,7,2015,HONDA,VEZEL,HYBRID X L PKG,RU4-1102189,DAA-RU4,AT,BROWN,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","SEAT HEATER,BACK CAMERA",HYBRID(PETROL),1490,cc,141000,KM,,13
14,2011,4,2011,LEXUS,CT,VESION C,ZWA10-2020120,DAA-ZWA10,AT,RED,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","PUSH START,BACK CAMERA",HYBRID(PETROL),1790,cc,97000,KM,,14
15,2011,6,2011,LEXUS,CT,200H VERSION C,ZWA10-2029243,DAA-ZWA10,AT,PEARL,5,2WD,"PS,PW,AC,NV,FOG,ABS,AB",,HYBRID(PETROL),1790,cc,181000,KM,,15
16,2011,7,2011,LEXUS,CT,CT200H VERSION L,ZWA10-2033033,DAA-ZWA10,AT,SILVER,5,2WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB,RS","CRUISE CONTROL,PUSH START,POWER SEAT,FRONT SEAT HEATER",HYBRID(PETROL),1790,cc,123000,KM,,16
17,2015,3,2015,LEXUS,CT,CT200H VERSION C,ZWA10-2236231,DAA-ZWA10,AT,PEARL,5,2WD,"PS,PW,AC,NV,FOG,SR,ABS,AB,RS",,PETROL,1790,cc,293000,KM,,17
18,2012,6,2012,LEXUS,GS,GS450H I PKG,GWL10-6001814,DAA-GWL10,AT,PEARL,4,2WD,"PS,PW,AC,LS,AW,FOG,ABS,AB",,HYBRID(PETROL),3450,cc,184000,KM,,18
19,2012,7,2012,LEXUS,GS450H,VERSION L,GWL10-6001986,DAA-GWL10,AT,SILVER,4,2WD,"PS,PW,AC,LS,AW,FOG,SR,ABS,AB",,HYBRID(PETROL),3450,cc,377000,KM,,19
20,2009,12,2009,LEXUS,HS,,ANF10-2018544,DAA-ANF10,AT,BLACK,4,2WD,"PS,PW,AC,ABS,AB",,HYBRID(PETROL),2360,cc,123000,KM,,20
21,2010,5,2009,LEXUS,HS,VER.I,ANF10-2000404,DAA-ANF10,AT,BLACK,4,2WD,"PS,PW,AC,ABS",,HYBRID(PETROL),2360,cc,216000,KM,,21
22,2010,6,2010,LEXUS,HS,HS250h,ANF10-2037226,DAA-ANF10,AT,BLACK,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2360,cc,174000,KM,,22
23,2010,9,2010,LEXUS,HS,HS250H VERSION I,ANF10-2040791,DAA-ANF10,AT,BLACK,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","BACK CAMERA,POWER SEAT,CRUISE CONTROL",HYBRID(PETROL),2360,cc,105000,KM,,23
24,2011,5,2011,LEXUS,HS,HS250h Version S,ANF10-2044786,DAA-ANF10,AT,PEARL,4,2WD,"PS,PW,AC,ABS,AB",,HYBRID(PETROL),2360,cc,103000,KM,,24
25,2011,10,2011,LEXUS,HS,HS250H VERSION I,ANF10-2048419,DAA-ANF10,AT,BLACK,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",,PETROL,2360,cc,115000,KM,,25
26,2012,7,2012,LEXUS,HS,,ANF10-2055154,DAA-ANF10,AT,BLACK,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",,HYBRID(PETROL),2360,cc,173000,KM,,26
27,2013,3,2013,LEXUS,HS,,ANF10-2057534,DAA-ANF10,AT,SILVER,4,2WD,"PS,PW,AC,NV,ABS,AB",,HYBRID(PETROL),2360,cc,97000,KM,,27
28,2010,3,2010,LEXUS,HS250H,VERSION S,ANF10-2028445,DAA-ANF10,AT,SILVER,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2360,cc,215000,KM,,28
29,2010,3,2010,LEXUS,HS250H,,ANF10-2031964,DAA-ANF10,AT,RED,4,2WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB","FRONT CAMERA,BACK CAMERA,SEAT HEATER,CRUISE CONTROL",HYBRID(PETROL),2360,cc,89000,KM,,29
30,2015,6,2015,LEXUS,IS300H,IS300H VERSION L,AVE30-5045935,DAA-AVE30,AT,PEARL,4,WD,"PS,PW,AC,NV,AW,ABS,AB","BACK CAMERA,PADDLE SHIFT,CRUISE CONTROL,POWER SEAT",HYBRID(PETROL),2490,cc,85000,KM,,30
31,2017,3,2017,LEXUS,IS300H,IS300H,AVE30-5062547,DAA-AVE30,AT,PEARL,4,WD,"PS,PW,AC,NV,AW,ABS,AB","CRUISE CONTROL, BACK CAMERA,SEAT HEATER,LED HEAD LIGHT,HALF LEATHER SEAT",HYBRID(PETROL),2490,cc,236000,KM,,
32,2018,9,2018,LEXUS,LX570,,URJ201-4282801,DBA-URJ201W,AT,BLACK,5,4WD,,,PETROL,5660,cc,205000,KM,,
33,2019,9,2019,LEXUS,NX,,AYZ10-6000361,DAA-AYZ10,AT,GRAY,5,2WD,"PS,PW,AC,NV,LS,AW,ABS,AB,RS","POWER SEAT,POWER BACK DOOR,PADDLE SHIFT",HYBRID(PETROL),2490,cc,39000,KM,,
34,2018,2,2018,LEXUS,RC300h,,AVC10-6004622,DAA-AVC10,AT,PEARL,2,2WD,"PS,PW,AC,NV,LS,AW,ABS,AB",BACK CAMERA,HYBRID(PETROL),2490,cc,91000,KM,,
35,2009,6,2009,LEXUS,RX,,GYL15-2003837,DAA-GYL15W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),3450,cc,145000,KM,,
36,2009,12,2009,LEXUS,RX,,GYL15-2405959,DAA-GYL15W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BACK CAMERA,PUSH START",HYBRID(PETROL),3450,cc,121000,KM,,
37,2010,1,2009,LEXUS,RX,RX450H VERSIN L,GYL16-2401570,DAA-GYL16W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,SR,ABS,AB,RS","BACK CAMERA,POWER BACK DOOR,LED LIGHT,CRUISE CONTROL",HYBRID(PETROL),3450,cc,215000,KM,,
38,2010,10,2010,LEXUS,RX,RX450H VERSION L,GYL16-2402573,DAA-GYL16W,AT,BROWN,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,SR,ABS,AB,RS","AERO,SEAT HEATER,LD HEAD,POWER BACK DOOR,POWER SEAT",HYBRID(PETROL),3450,cc,82000,KM,,
39,2010,10,2008,LEXUS,RX,RX350 VERSION S,GGL15-2402090,DBA-GGL15W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",BACK CAMERA,PETROL,3450,cc,134000,KM,,
40,2012,7,2012,LEXUS,RX,RX270 VERSION L,AGL10-2433181,DBA-AGL10W,AT,PEARL,5,2WD,"PS,PW,AC,LS,FOG,ABS,AB,RS",,PETROL,2670,cc,138000,KM,,
41,2012,11,2012,LEXUS,RX,,GYL15-2445865,DAA-GYL15W,AT,SILVER,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,SR,ABS,AB,RS",,HYBRID(PETROL),3450,cc,79000,KM,,
42,2013,3,2013,LEXUS,RX,RX270,AGL10-2439058,DBA-AGL10W,AT,BLACK,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","PUSH START, CRUISE CONTROL, POWER BACK DOOR, POWER SEAT",PETROL,2670,cc,84000,KM,,
43,2013,5,2013,LEXUS,RX,,GYL15-2450370,DAA-GYL15W,AT,PEARL,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB,RS","BACK CAMERA,PUSH START,CRUISE CONTROL",HYBRID(PETROL),3450,cc,78000,KM,,
44,2013,6,2013,LEXUS,RX,RX450H VERION L,GYL10-2412858,DAA-GYL10W,AT,PEARL,5,WD,"PS,PW,AC,NV,LS,AW,FOG,SR,ABS,AB,RS","CRUISE CONTROL,POWER BACK DOOR,STEERING HEATER,POWER SEAT,BACK SIDE CAMERA",HYBRID(PETROL),3450,cc,84000,KM,,
45,2013,8,2013,LEXUS,RX,RX450H F SPORTS,GYL15-2452005,DAA-GYL15W,AT,BLACK,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB,RS","BACK CAMERA,CRUISE CONTROL,POWER BACK DOOR,LED HEAD LIGHT",HYBRID(PETROL),3450,cc,93000,KM,,
46,2013,9,2013,LEXUS,RX,RX450H,GYL15-2453282,DAA-GYL15W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",BACK CAMERA,HYBRID(PETROL),3450,cc,64000,KM,,
47,2016,4,2016,LEXUS,RX,RX450H VERSION L,GYL25-0005955,DAA-GYL25W,AT,PEARL,5,4WD,"PS,PW,AC,ABS,AB,RS",,HYBRID(PETROL),3450,cc,100000,KM,,
48,2016,6,2016,LEXUS,RX,RX450H VERSION L,GYL25-0006556,DAA-GYL25W,AT,BLACK,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB,RS","LED LIGHT,POWER BACK DOOR",HYBRID(PETROL),3450,cc,96000,KM,,
49,2017,2,2017,LEXUS,RX,RX450H F SPORTS,GYL25-0011009,DAA-GYL25W,AT,PEARL,5,4WD,"PS,PW,AC,NV,LS,FOG,ABS,AB","BACK CAMERA,LED HEAD,POWER SEAT,SEAT HEATER",HYBRID(PETROL),3450,cc,125000,KM,,
50,2017,4,2017,LEXUS,RX,RX450H F SPORT,GYL20-0005109,DAA-GYL20W,AT,PEARL,5,2WD,"PS,PW,AC,NV,AW,SR,ABS,AB,RS","BACK CAMERA, POWER BACK DOOR",HYBRID(PETROL),3450,cc,119000,KM,,
51,2017,8,2017,LEXUS,RX,RX450H VER L,GYL20-0005708,DAA-GYL20W,AT,PEARL,5,2WD,"PS,PW,AC,NV,AW,FOG,SR,ABS,AB",,HYBRID(PETROL),3450,cc,91000,KM,,
52,2018,3,2018,LEXUS,RX,,GYL25-0014613,DAA-GYL25W,AT,PEARL,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,SR,ABS,AB,RS",,HYBRID(PETROL),3450,cc,62000,KM,,
53,2019,3,2019,LEXUS,RX,,GYL25-0017659,DAA-GYL25W,AT,BLUE,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),3450,cc,84000,KM,,
54,2009,5,2009,LEXUS,RX450H,VERSION L,GYL15-2002687,DAA-GYL15W,AT,BLACK,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,SR,ABS,AB,RS",,HYBRID(PETROL),3450,cc,106000,KM,,
55,2010,7,2010,LEXUS,RX450H,RX450H VER-L AWD 4WD,GYL16-2402141,DAA-GYL16W,AT,BLACK,5,4WD,"PS,PW,AC,NV,LS,AW,SR,ABS,AB,RS",,HYBRID(PETROL),3450,cc,270000,KM,,
56,2013,11,2013,LEXUS,RX450H,,GYL15-2455448,DAA-GYL15W,AT,BLACK,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB,RS",CRUISE CONTROL,HYBRID(PETROL),3450,cc,102000,KM,,
57,2010,3,2010,MAZDA,BONGO VAN,GL,SK82V-407730,ABF-SK82V,AT,SILVER,5,2WD,"PS,PW,AC,ABS,AB",,PETROL,1780,cc,198000,KM,,
58,2010,3,2010,MAZDA,BONGO VAN,,SK82M-402263,ABF-SK82M,AT,WHITE,5,4WD,"PS,PW,AC,AB",,PETROL,1780,cc,167000,KM,,
59,2011,3,2011,MAZDA,BONGO VAN,GL,SKP2M-100614,ABF-SKP2M,MT,WHITE,4,4WD,"PS,PW,AC,ABS,AB",,PETROL,1790,cc,260000,KM,,
60,2014,9,2014,MAZDA,BONGO VAN,DX,SKP2M-202934,ABF-SKP2M,AT,WHITE,4,4WD,"PS,PW,AC,AB",,PETROL,1790,cc,243000,KM,,
61,2015,3,2015,MAZDA,BONGO VAN,DX,SKP2M-203670,ABF-SKP2M,MT,WHITE,4,4WD,"PS,PW,AC,ABS,AB",,PETROL,1790,cc,358000,KM,,
62,2019,6,2019,MAZDA,BONGO VAN,,SLP2M-105141,DBF-SLP2M,AT,WHITE,5,4WD,"PS,PW,AC,ABS,AB",,PETROL,1790,cc,146000,KM,,
63,2014,3,,MERCEDES,E CLASS,E400 HV AV,WDD2120951A864998,DAA-212095C,AT,BLACK,4,2WD,"PS,PW,AC,ABS,AB",,PETROL,3490,cc,107000,KM,,
64,2012,11,2012,MITSUBISHI,FIGHTER,,FK65FZ-570168,QKG-FK65FZ,MT,SILVER,2,2WD,"PS,PW",ROOF CARRIER,DIESEL,7540,cc,986000,KM,,
65,2013,2,2013,MITSUBISHI,OUTLANDER PHEV,G SAFETY PKG,GG2W-0000660,DLA-GG2W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,SR,ABS,AB","HALF LEATHER SEAT, SEAT HEATER",PLUG-IN HYBRID(PETROL),1990,cc,172000,KM,,
66,2013,11,2013,MITSUBISHI,OUTLANDER PHEV,G NAVI PKG,GG2W-0007577,DLA-GG2W,AT,BLUE(L),5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","POWER BACK DOOR, PUSH START",PLUG-IN HYBRID(PETROL),1990,cc,121000,KM,,
67,2013,12,2013,MITSUBISHI,OUTLANDER PHEV,,GG2W-0009779,DLA-GG2W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","BACK CAMERA,POWER BACK DOOR",PLUG-IN HYBRID(PETROL),1990,cc,248000,KM,,
68,2014,1,2014,MITSUBISHI,OUTLANDER PHEV,G Premium Package 4WD,GG2W-0011328,DLA-GG2W,AT,SILVER,5,4WD,"PS,PW,AC,ABS,AB",,PLUG-IN HYBRID(PETROL),1990,cc,255000,KM,,
69,2014,10,2014,MITSUBISHI,OUTLANDER PHEV,G NAVI PKG,GG2W-0104218,DLA-GG2W,AT,RED,5,4WD,"PS,PW,AC,AW,FOG,ABS,AB","CRUISE CONTROL, BACK CAMERA,",PLUG-IN HYBRID(PETROL),1990,cc,276000,KM,,
70,2015,7,2015,MITSUBISHI,OUTLANDER PHEV,,GG2W-0302478,DLA-GG2W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","HALF LEATHER SEAT,SEAT HEATER,POWER SEAT,PUSH START",PLUG-IN HYBRID(PETROL),1990,cc,254000,KM,,
71,2009,6,,MITSUBISHI,TRITON,,KB9T-0001143,ABF-KB9T,AT,BLUE(D),4,4WD,"PS,PW,AW,FOG,ABS,AB",,PETROL,3490,cc,182000,KM,,
72,2006,1,2006,NISSAN,ATLAS TRUCK,,H4F23-030727,TC-SH4F23,AT,WHITE,2,2WD,"PS,PW,AC,AB",,PETROL,1990,cc,161000,KM,,
73,2019,5,2019,NISSAN,NV150 AD,,VY12-270409,DBF-VY12,AT,SILVER,5,2WD,"PS,PW,AC,NV,AB",,PETROL,1490,cc,103000,KM,,
74,2013,6,2013,NISSAN,NV200VANETTE VAN,VX,VM20-046688,DBF-VM20,AT,SILVER,5,2WD,"PS,PW,AC,ABS,AB",,PETROL,1590,cc,220000,KM,,
75,2005,6,2005,NISSAN,VANETTE TRUCK,,SK82LN-302120,TC-SK82LN,MT,RED,2,4WD,"PS,AC,AB",,PETROL,1780,cc,9000,KM,,
76,2014,12,2014,NISSAN,VANETTE TRUCK,,SKP2TN-113210,ABF-SKP2TN,AT,WHITE,2,2WD,"PS,PW,AC,AB",,PETROL,1790,cc,184000,KM,,
77,2011,8,2011,NISSAN,VANETTE VAN,GL,SKP2MN-101337,ABF-SKP2MN,AT,WHITE,4,4WD,"PS,PW,AC,NV,ABS,AB","ROOF CARRIER,BACK CAMERA",PETROL,1790,cc,236000,KM,,
78,2013,6,2013,NISSAN,VANETTE VAN,,SKP2MN-201923,ABF-SKP2MN,AT,WHITE,4,4WD,"PS,PW,AC,ABS,AB",,PETROL,1790,cc,203000,KM,,
79,2011,7,2011,NISSAN,XTRAIL,20X,NT31-218360,DBA-NT31,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,RR,ABS,AB",,PETROL,1990,cc,142000,KM,,
80,2015,2,2015,NISSAN,XTRAIL,,NT32-511238,DBA-NT32,AT,RED,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",POWER BACK DOOR,PETROL,1990,cc,304000,KM,,
81,2015,9,2015,NISSAN,XTRAIL,,NT32-527326,DBA-NT32,AT,BLACK,5,4WD,"PS,PW,AC,FOG,RR,ABS,AB,RS",,PETROL,1990,cc,112000,KM,,
82,2015,12,2015,NISSAN,XTRAIL,20X,NT32-530607,DBA-NT32,AT,PEARL,5,4WD,"PS,PW,AC,ABS,AB",,PETROL,1990,cc,96000,KM,,
83,2016,3,2015,NISSAN,XTRAIL,20X ｴﾏｼﾞｪﾝｼ-ﾌﾞﾚ- Key Package,NT32-534295,DBA-NT32,AT,PEARL,5,4WD,"PS,PW,AC,ABS,AB",,PETROL,1990,cc,101000,KM,,
84,2017,2,2017,NISSAN,XTRAIL,,T32-516059,DBA-T32.,AT,PEARL,5,2WD,"PS,PW,AC,NV,AW,ABS,AB,RS",SEAT HEATER,PETROL,1990,cc,166000,KM,,
85,2000,3,,NISSAN DIESEL,CONDOR,,MK252A00305,KK-MK252AB,MT,WHITE,2,2WD,"PS,PW",,DIESEL,6920,cc,239000,KM,,
86,2015,8,2015,SUBARU,EXIGA,2.5I EYESIGHT,YAM-018688,DBA-YAM,AT,PEARL,5,4WD,"PS,PW,AC,AW,RR,ABS,AB,RS",PUSH START,PETROL,2490,cc,108000,KM,,
87,2010,11,2010,SUBARU,FORESTER,,SH9-002105,CBA-SH9,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BACK CAMERA,HALF LEATHER SEAT,SEAT HEATER,CRUISE CONTROL",PETROL,2450,cc,78000,KM,,
88,2016,3,2016,SUBARU,LEGACY OUTBACK,,BS9-021896,DBA-BS9,AT,BLACK,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB,RS","BACK CAMERA,POWER SEAT,POWER BACK DOOR",PETROL,2490,cc,85000,KM,,
89,2013,6,2013,SUBARU,XV HYBRID,,GPE-002229,DAA-GPE,AT,PEARL,5,4WD,"PS,PW,AC,AW,FOG,AB",,HYBRID(PETROL),1990,cc,104000,KM,,
90,2013,6,2013,SUBARU,XV HYBRID,2.0i-L 4WD,GPE-002262,DAA-GPE,AT,GREEN(L),5,4WD,"PS,PW,AC,FOG,RR,ABS,AB",,HYBRID(PETROL),1990,cc,159000,KM,,
91,2013,10,2013,SUBARU,XV HYBRID,,GPE-006637,DAA-GPE,AT,SILVER,5,4WD,"PS,PW,AC,AW,FOG,ABS,AB","BACK CAMERA,PADDLE SHIFT,PUSH START",HYBRID(PETROL),1990,cc,228000,KM,,
92,2014,5,2014,SUBARU,XV HYBRID,2.0I L EYESIGHT,GPE-016779,DAA-GPE,AT,BEIGE,5,4WD,"PS,PW,AC,NV,AW,FOG,RR,ABS,AB,RS",,HYBRID(PETROL),1990,cc,299000,KM,,
93,2015,2,2015,SUBARU,XV HYBRID,HYBRID 2.0I-L EYESIGHT,GPE-022528,DAA-GPE,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,RR,ABS,AB",,HYBRID(PETROL),1990,cc,155000,KM,,
94,2008,7,2008,TOYOTA,ALPHARD,4WD 240S,ANH25-8000271,DBA-ANH25W,AT,BLACK,5,4WD,"PS,PW,AC,ABS,AB",,PETROL,2360,cc,219000,KM,,
95,2008,9,2008,TOYOTA,ALPHARD,240S,ANH25-8003099,DBA-ANH25W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",,PETROL,2360,cc,261000,KM,,
96,2009,2,2009,TOYOTA,ALPHARD,,ANH25-8007411,DBA-ANH25W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","PUSH START,HID,BACK CAMERA,BOTH SIDE POWER SLIDING DOOR",PETROL,2360,cc,140000,KM,,
97,2009,4,2008,TOYOTA,ALPHARD,240S,ANH25-8000069,DBA-ANH25W,AT,BLACK,5,4WD,"PS,PW,AC,FOG,GG,ABS,AB,RS",,PETROL,2360,cc,154000,KM,,
98,2009,6,2009,TOYOTA,ALPHARD,240G 4WD,ANH25-8010209,DBA-ANH25W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",PUSH START,PETROL,2360,cc,166000,KM,,
99,2009,8,2009,TOYOTA,ALPHARD,,ANH25-8011842,DBA-ANH25W,AT,PEARL,5,4WD,"PS,PW,AC,AW,FOG,ABS,AB,RS",,PETROL,2360,cc,156000,KM,,
100,2010,8,2010,TOYOTA,ALPHARD,240X,ANH25-8024340,DBA-ANH25W,AT,SILVER,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",,PETROL,2360,cc,226000,KM,,
101,2010,9,2010,TOYOTA,ALPHARD,,ANH25-8024887,DBA-ANH25W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BOTH SIDE POWER SLIDING DOOR,POWER BACK DOOR,BACK CAMERA,PUSH START",PETROL,2360,cc,144000,KM,,
102,2013,2,2013,TOYOTA,ALPHARD,,ANH25-8043583,DBA-ANH25W,AT,WHITE,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",,PETROL,2360,cc,118000,KM,,
103,2013,3,2013,TOYOTA,ALPHARD,240X,ANH25-8044646,DBA-ANH25W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","POWER SLIDING DOOR,BACK CAMERA",PETROL,2360,cc,170000,KM,,
104,2013,10,2013,TOYOTA,ALPHARD,240S,ANH25-8049211,DBA-ANH25W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",PUSH START,PETROL,2360,cc,117000,KM,,
105,2014,5,2014,TOYOTA,ALPHARD,240S TYPE GOLD 2,ANH25-8054537,DBA-ANH25W,AT,PEARL,5,4WD,"PS,PW,AC,FOG,ABS,AB,RS","BACK CAMERA,BOTH SIDE POWER SLIDING DOOR",PETROL,2360,cc,167000,KM,,
106,2015,4,2015,TOYOTA,ALPHARD,SA C PKG,GGH35-0001754,DBA-GGH35W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BOTH SIDE POWER SLIDING DOOR,POWER BACK DOOR,AROUND VIEW CAMERA",PETROL,3450,cc,217000,KM,,
107,2005,9,2005,TOYOTA,ALPHARD HYBRID,HYBRID G EDITION,ATH10-0012886,CAA-ATH10W,AT,PEARL,5,4WD,"PS,PW,AC,FOG,ABS,AB,RS",,HYBRID(PETROL),2360,cc,261000,KM,,
108,2005,12,2005,TOYOTA,ALPHARD HYBRID,HYBRID G EDITION,ATH10-0014664,CAA-ATH10W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,SR,ABS,AB","BACK CAMERA,BOTH SIDE POWER SLIDING DOOR",HYBRID(PETROL),2360,cc,212000,KM,,
109,2006,3,2006,TOYOTA,ALPHARD HYBRID,,ATH10-0016729,CAA-ATH10W,AT,PEARL,5,4WD,"PS,PW,AC,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),2360,cc,247000,KM,,
110,2006,6,2006,TOYOTA,ALPHARD HYBRID,,ATH10-0017989,CAA-ATH10W,AT,GREEN(L),5,4WD,"PS,PW,AC,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),2360,cc,135000,KM,,
111,2007,1,2007,TOYOTA,ALPHARD HYBRID,HYBRID G EDITION,ATH10-0020933,DAA-ATH10W,AT,PEARL,5,4WD,"PS,PW,AC,FOG,ABS,AB,RS",,HYBRID(PETROL),2360,cc,162000,KM,,
112,2007,2,2007,TOYOTA,ALPHARD HYBRID,HYBRID G EDITION,ATH10-0021334,DAA-ATH10W,AT,SILVER,5,4WD,"PS,PW,AC,NV,FOG,ABS,AB,RS",BACK CAMERA,HYBRID(PETROL),2360,cc,155000,KM,,
113,2008,2,2008,TOYOTA,ALPHARD HYBRID,G EDITION,ATH10-0024775,DAA-ATH10W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BACK CAMERA,CRUISE CONTROL,POWER SEAT",HYBRID(PETROL),2360,cc,127000,KM,,
114,2012,2,2012,TOYOTA,ALPHARD HYBRID,,ATH20-8003818,DAA-ATH20W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BACK CAMERA,BOTH SIDE POWER SLIDING DOOR,PUSH START",HYBRID(PETROL),2360,cc,177000,KM,,
115,2012,4,2012,TOYOTA,ALPHARD HYBRID,G,ATH20-8011506,DAA-ATH20W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,ABS,AB,RS",,HYBRID(PETROL),2360,cc,160000,KM,,
116,2013,9,2013,TOYOTA,ALPHARD HYBRID,X,ATH20-8033848,DAA-ATH20W,AT,BLACK,5,4WD,"PS,PW,AC,NV,FOG,ABS,AB,RS",PUSH START,HYBRID(PETROL),2360,cc,188000,KM,,
